symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
TEXRAIL,INE621L01012,4/1/2024,BSE,EQ,A,buy,FALSE,10,168.699997,76163300,1.71195E+18,2024-04-01T12:38:43
MOTHERSON,INE775A01035,4/1/2024,NSE,EQ,EQ,sell,FALSE,1,120.199997,46536743,1.2E+15,2024-04-01T14:33:54
MOTHERSON,INE775A01035,4/1/2024,NSE,EQ,EQ,sell,FALSE,54,120.199997,46536744,1.2E+15,2024-04-01T14:33:54
MISHTAN-RE,INE094S20017,4/2/2024,BSE,EQ,R,buy,FALSE,12,4.98,541200,1.71203E+18,2024-04-02T09:34:48
ZOMATO,INE758T01015,4/2/2024,BSE,EQ,A,sell,FALSE,20,181.550003,52322600,1.71203E+18,2024-04-02T10:44:51
ZOMATO,INE758T01015,4/2/2024,BSE,EQ,A,sell,FALSE,10,181.600006,52322400,1.71203E+18,2024-04-02T10:44:51
YESBANK,INE528G01035,4/3/2024,NSE,EQ,EQ,buy,FALSE,100,24.6,60026106,1.3E+15,2024-04-03T09:07:12
SJVN,INE002L01015,4/3/2024,NSE,EQ,EQ,buy,FALSE,50,132,60041262,1.3E+15,2024-04-03T09:07:12
SOUTHBANK,INE683A01023,4/3/2024,NSE,EQ,EQ,buy,FALSE,100,28.200001,60017513,1.3E+15,2024-04-03T09:07:12
KABRAEXTRU,INE900B01029,4/3/2024,NSE,EQ,EQ,sell,FALSE,1,325.049988,40588636,1.2E+15,2024-04-03T09:22:42
KABRAEXTRU,INE900B01029,4/3/2024,NSE,EQ,EQ,sell,FALSE,1,325.100006,40588630,1.2E+15,2024-04-03T09:22:42
KABRAEXTRU,INE900B01029,4/3/2024,NSE,EQ,EQ,sell,FALSE,1,325.049988,40588635,1.2E+15,2024-04-03T09:22:42
KABRAEXTRU,INE900B01029,4/3/2024,NSE,EQ,EQ,sell,FALSE,1,325.100006,40588628,1.2E+15,2024-04-03T09:22:42
KABRAEXTRU,INE900B01029,4/3/2024,NSE,EQ,EQ,sell,FALSE,2,325.100006,40588632,1.2E+15,2024-04-03T09:22:42
KABRAEXTRU,INE900B01029,4/3/2024,NSE,EQ,EQ,sell,FALSE,1,325.049988,40588634,1.2E+15,2024-04-03T09:22:42
KABRAEXTRU,INE900B01029,4/3/2024,NSE,EQ,EQ,sell,FALSE,10,325.100006,40588631,1.2E+15,2024-04-03T09:22:42
KABRAEXTRU,INE900B01029,4/3/2024,NSE,EQ,EQ,sell,FALSE,2,325.049988,40588633,1.2E+15,2024-04-03T09:22:42
KABRAEXTRU,INE900B01029,4/3/2024,NSE,EQ,EQ,sell,FALSE,1,325.100006,40588629,1.2E+15,2024-04-03T09:22:42
KABRAEXTRU,INE900B01029,4/3/2024,NSE,EQ,EQ,buy,FALSE,11,327.700012,41364236,1.2E+15,2024-04-03T09:41:51
KABRAEXTRU,INE900B01029,4/3/2024,NSE,EQ,EQ,buy,FALSE,9,327.700012,41364237,1.2E+15,2024-04-03T09:41:51
SUZLON,INE040H01021,4/3/2024,BSE,EQ,T,sell,FALSE,220,42.349998,6997800,1.71212E+18,2024-04-03T10:13:46
IRCON,INE962Y01021,4/3/2024,BSE,EQ,A,buy,FALSE,20,233,70931400,1.71213E+18,2024-04-03T11:58:25
IRFC,INE053F01010,4/3/2024,NSE,EQ,EQ,buy,FALSE,40,145.600006,24661322,1.1E+15,2024-04-03T11:59:18
NHPC,INE848E01016,4/3/2024,BSE,EQ,A,buy,FALSE,10,92.949997,4009600,1.71212E+18,2024-04-03T12:01:25
HBLPOWER,INE292B01021,4/3/2024,NSE,EQ,EQ,buy,FALSE,15,488.600006,27080548,1.1E+15,2024-04-03T14:18:21
IDFCFIRSTB,INE092T01019,4/4/2024,BSE,EQ,A,sell,FALSE,70,78.970001,1552100,1.7122E+18,2024-04-04T09:30:58
SAREGAMA,INE979A01025,4/4/2024,BSE,EQ,A,sell,FALSE,14,388.649994,21793600,1.7122E+18,2024-04-04T09:33:51
SAREGAMA,INE979A01025,4/4/2024,BSE,EQ,A,sell,FALSE,39,388.850006,21793000,1.7122E+18,2024-04-04T09:33:51
SAREGAMA,INE979A01025,4/4/2024,BSE,EQ,A,sell,FALSE,2,388.700012,21793300,1.7122E+18,2024-04-04T09:33:51
SAREGAMA,INE979A01025,4/4/2024,BSE,EQ,A,sell,FALSE,33,389,21792600,1.7122E+18,2024-04-04T09:33:51
SAREGAMA,INE979A01025,4/4/2024,BSE,EQ,A,sell,FALSE,8,388.549988,21793800,1.7122E+18,2024-04-04T09:33:51
SAREGAMA,INE979A01025,4/4/2024,BSE,EQ,A,sell,FALSE,4,388.899994,21792800,1.7122E+18,2024-04-04T09:33:51
UCOBANK,INE691A01018,4/5/2024,NSE,EQ,EQ,buy,FALSE,20,56.75,60855365,1.3E+15,2024-04-05T09:29:32
MSUMI,INE0FS801015,4/5/2024,BSE,EQ,A,sell,FALSE,110,70.629997,64034400,1.7123E+18,2024-04-05T11:25:42
